Entity,Code,Year,Fossil fuels (TWh)
Ukraine,UKR,1991,27.467.563
United Arab Emirates,ARE,1991,42.083.746
United Kingdom,GBR,1991,2.345.415
United States,USA,1991,19.680.094
Uzbekistan,UZB,1991,4.968.308
Venezuela,VEN,1991,4.759.311
Vietnam,VNM,1991,59.834.885
World,OWID_WRL,1991,83.237.734
Algeria,DZA,1992,31.963.843
Argentina,ARG,1992,4.821.176
Australia,AUS,1992,9.928.748
Austria,AUT,1992,23.859.116
Azerbaijan,AZE,1992,20.922.707
Bangladesh,BGD,1992,7.535.679
Belarus,BLR,1992,4.031.054
Belgium,BEL,1992,516.315
Brazil,BRA,1992,9.099.147
Bulgaria,BGR,1992,20.735.837
Canada,CAN,1992,19.282.595
Chile,CHL,1992,13.912.952
China,CHN,1992,8386.55
Colombia,COL,1992,20.520.174
Croatia,HRV,1992,6.764.407
Cyprus,CYP,1992,22.796.679
Czechia,CZE,1992,44.405.426
Denmark,DNK,1992,2.136.849
Ecuador,ECU,1992,7.427.257
Egypt,EGY,1992,36.364.752
Estonia,EST,1992,8.138.799
Finland,FIN,1992,21.454.427
France,FRA,1992,16.777.042
Germany,DEU,1992,3497.78
Greece,GRC,1992,2.900.773
Hong Kong,HKG,1992,16.992.892
Hungary,HUN,1992,24.928.088
Iceland,ISL,1992,8.554.433
India,IND,1992,2326.79
Indonesia,IDN,1992,6.852.572
Iran,IRN,1992,94.620.764
Iraq,IRQ,1992,21.893.427
Ireland,IRL,1992,1.196.518
Israel,ISR,1992,1.531.128
Italy,ITA,1992,1.770.387
Japan,JPN,1992,45.021.787
Kazakhstan,KAZ,1992,825.856
Kuwait,KWT,1992,8.167.526
Latvia,LVA,1992,49.580.112
Lithuania,LTU,1992,88.277.756
Luxembourg,LUX,1992,3.979.827
Malaysia,MYS,1992,3.278.807
Mexico,MEX,1992,12.367.986
Morocco,MAR,1992,9.092.879
Netherlands,NLD,1992,92.514.185
New Zealand,NZL,1992,118.884.384
North Macedonia,MKD,1992,2.772.942
Norway,NOR,1992,13.534.476
Oman,OMN,1992,624.909
Pakistan,PAK,1992,27.948.465
Peru,PER,1992,7.451.446
Philippines,PHL,1992,17.671.974
Poland,POL,1992,1.127.586
Portugal,PRT,1992,19.154.279
Qatar,QAT,1992,14.428.645
Romania,ROU,1992,5.160.707
Russia,RUS,1992,8.716.629
Saudi Arabia,SAU,1992,9.817.563
Singapore,SGP,1992,2.978.054
Slovakia,SVK,1992,17.666.003
Slovenia,SVN,1992,4.349.163
South Africa,ZAF,1992,99.845.966
South Korea,KOR,1992,11.901.459
Spain,ESP,1992,9.427.359
Sri Lanka,LKA,1992,23.423.489
Sweden,SWE,1992,24.525.757
Switzerland,CHE,1992,18.172.139
Taiwan,TWN,1992,54.050.433
Thailand,THA,1992,4.195.006
Trinidad and Tobago,TTO,1992,7.335.068
Turkey,TUR,1992,52.439.075
Turkmenistan,TKM,1992,14.895.883
Ukraine,UKR,1992,22.979.763
United Arab Emirates,ARE,1992,40.669.565
United Kingdom,GBR,1992,23.084.873
United States,USA,1992,20.084.928
Uzbekistan,UZB,1992,4.693.468
Venezuela,VEN,1992,5.178.348
Vietnam,VNM,1992,6.441.968
World,OWID_WRL,1992,83771.92
Algeria,DZA,1993,29.695.114
Argentina,ARG,1993,48.523.602
Australia,AUS,1993,10.134.342
Austria,AUT,1993,2.391.346
Azerbaijan,AZE,1993,17.880.655
Bangladesh,BGD,1993,836.379
Belarus,BLR,1993,337.056
Belgium,BEL,1993,51.065.756
Brazil,BRA,1993,9.501.196
Bulgaria,BGR,1993,21.678.735
Canada,CAN,1993,19.469.708
Chile,CHL,1993,1.487.303
China,CHN,1993,9.003.102
Colombia,COL,1993,2.166.408
Croatia,HRV,1993,7.049.165
Cyprus,CYP,1993,23.690.178
Czechia,CZE,1993,43.849.524
Denmark,DNK,1993,22.584.038
Ecuador,ECU,1993,7.505.091
Egypt,EGY,1993,3.630.694
Estonia,EST,1993,6.758.692
Finland,FIN,1993,21.708.345
France,FRA,1993,16.060.608
Germany,DEU,1993,34.927.603
Greece,GRC,1993,29.364.084
Hong Kong,HKG,1993,1.855.023
Hungary,HUN,1993,24.145.792
Iceland,ISL,1993,8.872.781
India,IND,1993,2.388.339
Indonesia,IDN,1993,73.445.264
Iran,IRN,1993,8.696.022
Iraq,IRQ,1993,29.264.853
Ireland,IRL,1993,12.242.731
Israel,ISR,1993,16.629.146
Italy,ITA,1993,17.317.411
Japan,JPN,1993,4.460.201
Kazakhstan,KAZ,1993,72.432.825
Kuwait,KWT,1993,1.001.729
Latvia,LVA,1993,40.651.257
Lithuania,LTU,1993,6.628.571
Luxembourg,LUX,1993,4.032.377
Malaysia,MYS,1993,32.816.437
Mexico,MEX,1993,12.408.743
Morocco,MAR,1993,9.345.595
Netherlands,NLD,1993,93.221.924
New Zealand,NZL,1993,11.691.528
North Macedonia,MKD,1993,28.735.922
