Entity,Code,Year,Fossil fuels (TWh)
Malaysia,MYS,1999,50.709.735
Mexico,MEX,1999,14.199.991
Morocco,MAR,1999,1.160.525
Netherlands,NLD,1999,97.501.575
New Zealand,NZL,1999,14.129.721
North Macedonia,MKD,1999,28.396.706
Norway,NOR,1999,16.375.214
Oman,OMN,1999,8.248.155
Pakistan,PAK,1999,40.990.686
Peru,PER,1999,100.854.836
Philippines,PHL,1999,24.885.486
Poland,POL,1999,10.757.216
Portugal,PRT,1999,25.799.118
Qatar,QAT,1999,15.026.718
Romania,ROU,1999,35.233.823
Russia,RUS,1999,62.659.697
Saudi Arabia,SAU,1999,12.754.303
Singapore,SGP,1999,4.135.441
Slovakia,SVK,1999,16.084.409
Slovenia,SVN,1999,548.474
South Africa,ZAF,1999,1.144.544
South Korea,KOR,1999,18.185.153
Spain,ESP,1999,1.195.437
Sri Lanka,LKA,1999,38.356.125
Sweden,SWE,1999,2.603.394
Switzerland,CHE,1999,18.243.265
Taiwan,TWN,1999,83.314.075
Thailand,THA,1999,7.042.245
Trinidad and Tobago,TTO,1999,11.363.159
Turkey,TUR,1999,70.635.486
Ukraine,UKR,1999,13.337.334
United Arab Emirates,ARE,1999,53.836.896
United Kingdom,GBR,1999,2.345.662
United States,USA,1999,22.599.816
Uzbekistan,UZB,1999,57.036.707
Venezuela,VEN,1999,6.161.799
Vietnam,VNM,1999,14.731.941
World,OWID_WRL,1999,91.921.484
Algeria,DZA,2000,29.978.595
Argentina,ARG,2000,5.953.777
Australia,AUS,2000,12.531.943
Austria,AUT,2000,2.624.335
Azerbaijan,AZE,2000,127.094.955
Bangladesh,BGD,2000,13.390.604
Belarus,BLR,2000,25.498.041
Belgium,BEL,2000,60.348.157
Brazil,BRA,2000,12.836.075
Bulgaria,BGR,2000,15.797.147
Canada,CAN,2000,23.565.771
Chile,CHL,2000,24.987.326
China,CHN,2000,11.085.259
Colombia,COL,2000,22.096.619
Croatia,HRV,2000,7.746.547
Cyprus,CYP,2000,30.261.105
Czechia,CZE,2000,42.837.277
Denmark,DNK,2000,21.973.676
Ecuador,ECU,2000,8.162.249
Egypt,EGY,2000,5.263.706
Estonia,EST,2000,55.296.604
Finland,FIN,2000,224.163
France,FRA,2000,17.197.067
Germany,DEU,2000,33.917.764
Greece,GRC,2000,36.079.834
Hong Kong,HKG,2000,19.747.533
Hungary,HUN,2000,23.924.075
Iceland,ISL,2000,106.982.155
India,IND,2000,34.460.303
Indonesia,IDN,2000,1.120.133
Iran,IRN,2000,13.852.795
Iraq,IRQ,2000,31.321.008
Ireland,IRL,2000,169.204
Israel,ISR,2000,22.728.027
Italy,ITA,2000,19.490.676
Japan,JPN,2000,50.356.113
Kazakhstan,KAZ,2000,34.747.815
Kuwait,KWT,2000,21.194.315
Latvia,LVA,2000,2.940.364
Lithuania,LTU,2000,5.314.203
Luxembourg,LUX,2000,36.694.363
Malaysia,MYS,2000,5.887.914
Mexico,MEX,2000,14.957.323
Morocco,MAR,2000,11.515.101
Netherlands,NLD,2000,98.637.683
New Zealand,NZL,2000,14.609.683
North Macedonia,MKD,2000,27.388.037
Norway,NOR,2000,16.023.283
Oman,OMN,2000,114.599.365
Pakistan,PAK,2000,42.619.287
Peru,PER,2000,10.041.547
Philippines,PHL,2000,24.537.386
Poland,POL,2000,101.057.684
Portugal,PRT,2000,25.497.513
Qatar,QAT,2000,13.419.913
Romania,ROU,2000,36.115.204
Russia,RUS,2000,6.357.776
Saudi Arabia,SAU,2000,13.348.796
Singapore,SGP,2000,44.223.233
Slovakia,SVK,2000,15.779.874
Slovenia,SVN,2000,53.556.305
South Africa,ZAF,2000,11.436.597
South Korea,KOR,2000,19.245.533
Spain,ESP,2000,12.440.662
Sri Lanka,LKA,2000,44.060.467
Sweden,SWE,2000,23.002.692
Switzerland,CHE,2000,17.818.906
Taiwan,TWN,2000,8.962.344
Thailand,THA,2000,7.228.478
Trinidad and Tobago,TTO,2000,118.771.194
Turkey,TUR,2000,77.252.844
Ukraine,UKR,2000,13.326.455
United Arab Emirates,ARE,2000,5.357.819
United Kingdom,GBR,2000,23.928.994
United States,USA,2000,23.224.576
Uzbekistan,UZB,2000,58.216.394
Venezuela,VEN,2000,63.236.444
Vietnam,VNM,2000,1.711.218
World,OWID_WRL,2000,94302.7
Algeria,DZA,2001,31.061.023
Argentina,ARG,2001,5.538.021
Australia,AUS,2001,12.644.697
Austria,AUT,2001,28.044.867
Azerbaijan,AZE,2001,12.308.163
Bangladesh,BGD,2001,15.266.776
Belarus,BLR,2001,24.787.195
Belgium,BEL,2001,6.028.867
Brazil,BRA,2001,13.241.947
Bulgaria,BGR,2001,16.449.355
Canada,CAN,2001,2.350.008
Chile,CHL,2001,24.426.062
China,CHN,2001,11.595.461
Colombia,COL,2001,21.432.635
Croatia,HRV,2001,80.421.455
Cyprus,CYP,2001,30.609.652
Czechia,CZE,2001,4.354.642
Denmark,DNK,2001,21.965.651
Ecuador,ECU,2001,8.471.088
Egypt,EGY,2001,5.504.415
Estonia,EST,2001,57.750.828
Finland,FIN,2001,2.372.849
France,FRA,2001,17.254.396
Germany,DEU,2001,34.603.813
Greece,GRC,2001,3.673.915
Hong Kong,HKG,2001,24.942.023
Hungary,HUN,2001,24.641.263
Iceland,ISL,2001,10.200.828
India,IND,2001,3.466.253
Indonesia,IDN,2001,11.950.663
Iran,IRN,2001,1.479.933
Iraq,IRQ,2001,3.495.724
Ireland,IRL,2001,18.002.463
Israel,ISR,2001,22.715.454
Italy,ITA,2001,19.379.456
Japan,JPN,2001,49.881.167
Kazakhstan,KAZ,2001,392.451
Kuwait,KWT,2001,21.430.533
Latvia,LVA,2001,323.233
Lithuania,LTU,2001,58.250.637
Luxembourg,LUX,2001,39.367.466
Malaysia,MYS,2001,6.062.499
Mexico,MEX,2001,14.883.884
Morocco,MAR,2001,12.376.759
Netherlands,NLD,2001,10.240.242
New Zealand,NZL,2001,15.274.255
North Macedonia,MKD,2001,2.718.551
Norway,NOR,2001,17.019.252
Oman,OMN,2001,12.648.573
Pakistan,PAK,2001,43.274.805
Peru,PER,2001,9.486.413
Philippines,PHL,2001,24.650.334
Poland,POL,2001,10.021.676
Portugal,PRT,2001,25.108.948
Qatar,QAT,2001,12.897.125
Romania,ROU,2001,36.591.168
Russia,RUS,2001,64.310.176
Saudi Arabia,SAU,2001,14.223.323
Singapore,SGP,2001,5.015.775
Slovakia,SVK,2001,16.103.802
Slovenia,SVN,2001,5.599.178
South Africa,ZAF,2001,11.548.802
South Korea,KOR,2001,19.768.253
Spain,ESP,2001,12.717.705
Sri Lanka,LKA,2001,42.860.462
Sweden,SWE,2001,23.686.372
Switzerland,CHE,2001,18.982.634
Taiwan,TWN,2001,9.356.904
Thailand,THA,2001,7.623.563
Trinidad and Tobago,TTO,2001,128.127
Turkey,TUR,2001,7.140.713
Ukraine,UKR,2001,13.127.786
United Arab Emirates,ARE,2001,54.156.604
United Kingdom,GBR,2001,24.064.353
United States,USA,2001,22.744.744
Uzbekistan,UZB,2001,58.385.864
Venezuela,VEN,2001,67.263.257
Vietnam,VNM,2001,18.854.776
World,OWID_WRL,2001,95432.67
Algeria,DZA,2002,32.178.415
Argentina,ARG,2002,5.317.772
Australia,AUS,2002,12.889.951
Austria,AUT,2002,28.288.486
Azerbaijan,AZE,2002,11.953.395
Bangladesh,BGD,2002,15.832.492
Belarus,BLR,2002,2.564.415
Belgium,BEL,2002,597.305
Brazil,BRA,2002,13.224.099
Bulgaria,BGR,2002,15.638.051
Canada,CAN,2002,24.289.885
Chile,CHL,2002,25.107.866
China,CHN,2002,12657.19
Colombia,COL,2002,20.737.894
Croatia,HRV,2002,8.454.285
Cyprus,CYP,2002,30.185.936
Czechia,CZE,2002,4.246.539
Denmark,DNK,2002,21.642.538
Ecuador,ECU,2002,8.214.731
Egypt,EGY,2002,568.773
Estonia,EST,2002,57.499.256
Finland,FIN,2002,2.459.748
France,FRA,2002,16.975.334
Germany,DEU,2002,34.080.564
Greece,GRC,2002,36.589.545
Hong Kong,HKG,2002,24.343.253
Hungary,HUN,2002,24.411.044
Iceland,ISL,2002,10.558.628
India,IND,2002,35.899.685
Indonesia,IDN,2002,12.328.993
Iran,IRN,2002,16.028.936
Iraq,IRQ,2002,3.292.857
Ireland,IRL,2002,17.781.929
Israel,ISR,2002,23.157.265
Italy,ITA,2002,19.421.345
Japan,JPN,2002,50.210.254
Kazakhstan,KAZ,2002,39.799.652
Kuwait,KWT,2002,22.682.956
Latvia,LVA,2002,33.766.403
Lithuania,LTU,2002,5.672.509
Luxembourg,LUX,2002,43.133.194
Malaysia,MYS,2002,64.204.065
Mexico,MEX,2002,15.480.201
Morocco,MAR,2002,12.703.742
Netherlands,NLD,2002,102.268.976
New Zealand,NZL,2002,1.527.493
North Macedonia,MKD,2002,26.151.937
Norway,NOR,2002,16.761.743
Oman,OMN,2002,13.764.601
Pakistan,PAK,2002,4.461.363
Peru,PER,2002,9.721.137
Philippines,PHL,2002,24.563.379
Poland,POL,2002,9.913.861
Portugal,PRT,2002,2.666.142
Qatar,QAT,2002,1.420.285
Romania,ROU,2002,37.902.023
Russia,RUS,2002,64.279.023
Saudi Arabia,SAU,2002,14.813.827
Singapore,SGP,2002,49.272.113
Slovakia,SVK,2002,16.024.976
Slovenia,SVN,2002,56.296.413
South Africa,ZAF,2002,11.194.598
South Korea,KOR,2002,20.624.233
Spain,ESP,2002,13.344.612
Sri Lanka,LKA,2002,4.561.218
Sweden,SWE,2002,24.244.304
Switzerland,CHE,2002,1.808.754
Taiwan,TWN,2002,9.726.784
Thailand,THA,2002,8.243.518
Trinidad and Tobago,TTO,2002,1.390.541
Turkey,TUR,2002,76.046.747
Ukraine,UKR,2002,13.066.316
United Arab Emirates,ARE,2002,5.916.931
United Kingdom,GBR,2002,23.522.158
United States,USA,2002,22.941.979
Uzbekistan,UZB,2002,5.986.914
Venezuela,VEN,2002,68.632.025
Vietnam,VNM,2002,21.163.832
World,OWID_WRL,2002,97594.11
Algeria,DZA,2003,33.615.356
Argentina,ARG,2003,5.793.064
Australia,AUS,2003,13.062.241
Austria,AUT,2003,30.711.383
Azerbaijan,AZE,2003,12.855.928
Bangladesh,BGD,2003,16.794.385
Belarus,BLR,2003,25.450.519
Belgium,BEL,2003,6.261.305
Brazil,BRA,2003,13.136.064
Bulgaria,BGR,2003,17.071.962
Canada,CAN,2003,24.953.928
Chile,CHL,2003,25.150.714
China,CHN,2003,14.859.567
Colombia,COL,2003,2.124.953
Croatia,HRV,2003,904.913
Cyprus,CYP,2003,320.883
Czechia,CZE,2003,43.625.784
Denmark,DNK,2003,23.108.041
Ecuador,ECU,2003,8.578.332
Egypt,EGY,2003,6.076.346
Estonia,EST,2003,6.268.629
Finland,FIN,2003,27.359.238
France,FRA,2003,1.730.169
Germany,DEU,2003,34.050.566
Greece,GRC,2003,38.119.785
Hong Kong,HKG,2003,25.140.543
Hungary,HUN,2003,25.271.704
Iceland,ISL,2003,10.637.617
India,IND,2003,3.728.399
Indonesia,IDN,2003,13.439.308
Iran,IRN,2003,1.628.308
Iraq,IRQ,2003,29.028.033
Ireland,IRL,2003,17.380.864
Israel,ISR,2003,2.385.921
Italy,ITA,2003,20.135.079
Japan,JPN,2003,52.009.194
Kazakhstan,KAZ,2003,43.967.847
Kuwait,KWT,2003,2.710.907
Latvia,LVA,2003,33.731.316
Lithuania,LTU,2003,58.055.763
Luxembourg,LUX,2003,45.284.607
Malaysia,MYS,2003,6.980.527
Mexico,MEX,2003,1.571.815
Morocco,MAR,2003,12.565.122
Netherlands,NLD,2003,10.296.417
New Zealand,NZL,2003,14.955.421
North Macedonia,MKD,2003,27.990.833
Norway,NOR,2003,1.744.184
Oman,OMN,2003,14.257.997
Pakistan,PAK,2003,47.996.667
Peru,PER,2003,9.402.071
Philippines,PHL,2003,25.523.303
Poland,POL,2003,1.027.221
Portugal,PRT,2003,25.162.032
Qatar,QAT,2003,16.293.604
Romania,ROU,2003,38.912.903
Russia,RUS,2003,6.577.551
Saudi Arabia,SAU,2003,15.691.909
Singapore,SGP,2003,46.541.028
Slovakia,SVK,2003,1.597.336
Slovenia,SVN,2003,5.675.701
South Africa,ZAF,2003,12.184.147
South Korea,KOR,2003,21.075.645
Spain,ESP,2003,13.681.029
Sri Lanka,LKA,2003,45.420.067
Sweden,SWE,2003,25.592.369
Switzerland,CHE,2003,17.853.206
Taiwan,TWN,2003,10.229.405
Thailand,THA,2003,8.872.691
Trinidad and Tobago,TTO,2003,15.594.861
Turkey,TUR,2003,8.071.517
Ukraine,UKR,2003,13.384.978
United Arab Emirates,ARE,2003,6.311.553
United Kingdom,GBR,2003,2.394.109
United States,USA,2003,23040.12
Uzbekistan,UZB,2003,5.446.981
Venezuela,VEN,2003,62.822.705
Vietnam,VNM,2003,23.026.694
World,OWID_WRL,2003,101809.47
Algeria,DZA,2004,3.490.545
Argentina,ARG,2004,6.322.975
Australia,AUS,2004,13.477.528
Austria,AUT,2004,30.239.697
Azerbaijan,AZE,2004,14.595.897
Bangladesh,BGD,2004,17.380.067
Belarus,BLR,2004,28.498.264
Belgium,BEL,2004,6.291.559
Brazil,BRA,2004,13.833.146
Bulgaria,BGR,2004,16.473.555
Canada,CAN,2004,25.089.727
Chile,CHL,2004,271.616
China,CHN,2004,17.332.893
Colombia,COL,2004,21.280.914
Croatia,HRV,2004,8.854.533
Cyprus,CYP,2004,31.226.189
Czechia,CZE,2004,44.654.657
Denmark,DNK,2004,21.330.814
Ecuador,ECU,2004,92.687.645
Egypt,EGY,2004,64.362.256
Estonia,EST,2004,63.916.676
Finland,FIN,2004,2.532.829
France,FRA,2004,17.421.658
Germany,DEU,2004,33.668.105
Greece,GRC,2004,38.114.084
Hong Kong,HKG,2004,28.152.692
Hungary,HUN,2004,2.530.456
Iceland,ISL,2004,11.129.196
India,IND,2004,39.644.377
Indonesia,IDN,2004,13.281.602
Iran,IRN,2004,17.974.377
Iraq,IRQ,2004,3.094.746
Ireland,IRL,2004,17.546.461
Israel,ISR,2004,24.335.373
Italy,ITA,2004,20.388.511
Japan,JPN,2004,51.228.696
Kazakhstan,KAZ,2004,47.058.612
Kuwait,KWT,2004,3.028.387
Latvia,LVA,2004,36.334.076
Lithuania,LTU,2004,59.972.054
Luxembourg,LUX,2004,51.203.964
Malaysia,MYS,2004,7.537.156
Mexico,MEX,2004,16.509.272
Morocco,MAR,2004,14.336.635
Netherlands,NLD,2004,10.618.103
New Zealand,NZL,2004,14.680.066
North Macedonia,MKD,2004,27.306.465
Norway,NOR,2004,17.557.004
Oman,OMN,2004,1.326.809
Pakistan,PAK,2004,53.740.247
Peru,PER,2004,106.777.695
Philippines,PHL,2004,26.243.616
Poland,POL,2004,10.319.388
Portugal,PRT,2004,261.555
Qatar,QAT,2004,19.687.029
Romania,ROU,2004,39.438.556
Russia,RUS,2004,6.606.419
Saudi Arabia,SAU,2004,17.024.475
Singapore,SGP,2004,5.211.792
Slovakia,SVK,2004,15.491.736
Slovenia,SVN,2004,57.898.277
South Africa,ZAF,2004,1.331.142
South Korea,KOR,2004,21.663.127
Spain,ESP,2004,14.440.978
Sri Lanka,LKA,2004,4.493.224
Sweden,SWE,2004,2.478.287
Switzerland,CHE,2004,17.870.706
Taiwan,TWN,2004,10.695.459
Thailand,THA,2004,9.673.244
Trinidad and Tobago,TTO,2004,1.714.696
Turkey,TUR,2004,8.413.154
Ukraine,UKR,2004,13.112.736
United Arab Emirates,ARE,2004,67.506.537
United Kingdom,GBR,2004,24.238.179
United States,USA,2004,23.499.125
Uzbekistan,UZB,2004,54.496.155
Venezuela,VEN,2004,6.710.814
Vietnam,VNM,2004,2.964.293
World,OWID_WRL,2004,106.664.766
Algeria,DZA,2005,36.468.146
Argentina,ARG,2005,67.060.974
Australia,AUS,2005,1.349.514
Austria,AUT,2005,30.634.137
Azerbaijan,AZE,2005,15.822.023
Bangladesh,BGD,2005,18.760.443
Belarus,BLR,2005,28.404.437
Belgium,BEL,2005,6.187.869
Brazil,BRA,2005,14.073.135
Bulgaria,BGR,2005,17.481.247
Canada,CAN,2005,24.699.326
Chile,CHL,2005,2.733.257
China,CHN,2005,19.713.344
Colombia,COL,2005,21.168.222
Croatia,HRV,2005,8.906.604
Cyprus,CYP,2005,34.990.147
Czechia,CZE,2005,442.445
Denmark,DNK,2005,20.420.296
Ecuador,ECU,2005,10.068.857
Egypt,EGY,2005,66.174.805
Estonia,EST,2005,6.414.318
Finland,FIN,2005,22.327.707
France,FRA,2005,17.425.884
Germany,DEU,2005,33.082.554
Greece,GRC,2005,38.122.195
Hong Kong,HKG,2005,27.009.045
Hungary,HUN,2005,26.483.917
Iceland,ISL,2005,11.256.201
India,IND,2005,42.375.137
Indonesia,IDN,2005,13.651.406
Iran,IRN,2005,18.987.263
Iraq,IRQ,2005,29.430.948
Ireland,IRL,2005,18.205.435
Israel,ISR,2005,24.449.413
Italy,ITA,2005,20.586.958
Japan,JPN,2005,51.578.296
Kazakhstan,KAZ,2005,4.850.141
Kuwait,KWT,2005,33.409.308
Latvia,LVA,2005,37.134.514
Lithuania,LTU,2005,63.720.234
Luxembourg,LUX,2005,5.193.919
Malaysia,MYS,2005,81.599.927
Mexico,MEX,2005,17.513.376
Morocco,MAR,2005,15.773.419
Netherlands,NLD,2005,10.781.451
New Zealand,NZL,2005,14.937.207
North Macedonia,MKD,2005,2.827.463
Norway,NOR,2005,1.697.133
Oman,OMN,2005,15.932.642
Pakistan,PAK,2005,55.160.504
Peru,PER,2005,112.468.636
Philippines,PHL,2005,2.629.606
Poland,POL,2005,1052.26
Portugal,PRT,2005,27.285.782
Qatar,QAT,2005,2.228.612
Romania,ROU,2005,3.851.521
Russia,RUS,2005,6.597.732
Saudi Arabia,SAU,2005,17.590.061
Singapore,SGP,2005,5.477.119
Slovakia,SVK,2005,16.329.767
Slovenia,SVN,2005,58.757.935
South Africa,ZAF,2005,12.630.378
South Korea,KOR,2005,22.122.354
Spain,ESP,2005,15.000.077
Sri Lanka,LKA,2005,51.852.943
Sweden,SWE,2005,2.446.366
Switzerland,CHE,2005,18.234.415
Taiwan,TWN,2005,10.823.278
Thailand,THA,2005,99.838.464
Trinidad and Tobago,TTO,2005,18.386.272
Turkey,TUR,2005,8.829.367
Ukraine,UKR,2005,13.261.067
United Arab Emirates,ARE,2005,704.598
United Kingdom,GBR,2005,24.419.756
United States,USA,2005,23.512.965
Uzbekistan,UZB,2005,54.290.094
Venezuela,VEN,2005,6.789.918
Vietnam,VNM,2005,3.222.851
World,OWID_WRL,2005,110279.75
Algeria,DZA,2006,3.786.009
Argentina,ARG,2006,69.778.064
Australia,AUS,2006,14.085.713
Austria,AUT,2006,30.043.958
Azerbaijan,AZE,2006,15.692.683
Bangladesh,BGD,2006,20.344.052
Belarus,BLR,2006,30.203.766
Belgium,BEL,2006,6.217.085
Brazil,BRA,2006,14.362.156
Bulgaria,BGR,2006,17.773.166
Canada,CAN,2006,24.648.147
Chile,CHL,2006,2.912.199
China,CHN,2006,21.612.988
Colombia,COL,2006,23.989.848
Croatia,HRV,2006,8.903.258
Cyprus,CYP,2006,34.407.574
Czechia,CZE,2006,44.779.843
Denmark,DNK,2006,22.953.809
Ecuador,ECU,2006,106.934.685
Egypt,EGY,2006,6.985.427
Estonia,EST,2006,63.291.786
Finland,FIN,2006,25.328.436
France,FRA,2006,17.112.305
Germany,DEU,2006,33.606.172
Greece,GRC,2006,38.889.026
Hong Kong,HKG,2006,28.575.052
Hungary,HUN,2006,26.259.277
Iceland,ISL,2006,11.453.036
India,IND,2006,4.427.847
Indonesia,IDN,2006,13.981.421
Iran,IRN,2006,2.067.248
Iraq,IRQ,2006,2.854.813
Ireland,IRL,2006,184.342
Israel,ISR,2006,24.389.938
Italy,ITA,2006,20.426.763
Japan,JPN,2006,5.086.065
Kazakhstan,KAZ,2006,5.240.585
Kuwait,KWT,2006,3.211.306
Latvia,LVA,2006,36.562.912
Lithuania,LTU,2006,64.428.375
Luxembourg,LUX,2006,5.090.858
Malaysia,MYS,2006,8.247.239
Mexico,MEX,2006,18.057.238
Morocco,MAR,2006,16.104.185
Netherlands,NLD,2006,10.548.782
New Zealand,NZL,2006,15.037.091
North Macedonia,MKD,2006,28.394.411
Norway,NOR,2006,17.081.189
Oman,OMN,2006,17.406.621
Pakistan,PAK,2006,5.883.396
Peru,PER,2006,10.885.393
Philippines,PHL,2006,2.480.829
Poland,POL,2006,11.030.348
Portugal,PRT,2006,24.888.158
Qatar,QAT,2006,2.342.727
Romania,ROU,2006,39.999.896
Russia,RUS,2006,69.153.154
Saudi Arabia,SAU,2006,18.307.107
Singapore,SGP,2006,6.028.206
Slovakia,SVK,2006,15.428.014
Slovenia,SVN,2006,60.220.512
South Africa,ZAF,2006,12.889.866
South Korea,KOR,2006,22.524.067
Spain,ESP,2006,1.491.931
Sri Lanka,LKA,2006,5.309.419
Sweden,SWE,2006,25.007.378
Switzerland,CHE,2006,1.852.752
Taiwan,TWN,2006,1.114.793
Thailand,THA,2006,10.123.978
Trinidad and Tobago,TTO,2006,21.474.776
Turkey,TUR,2006,9.789.125
Ukraine,UKR,2006,13.413.118
United Arab Emirates,ARE,2006,74.129.297
United Kingdom,GBR,2006,24.225.615
United States,USA,2006,23186.37
Uzbekistan,UZB,2006,5.102.101
Venezuela,VEN,2006,71.767.004
Vietnam,VNM,2006,28.267.493
World,OWID_WRL,2006,113402.75
Algeria,DZA,2007,3.990.007
Argentina,ARG,2007,7.552.279
Australia,AUS,2007,14.462.709
Austria,AUT,2007,2.842.265
Azerbaijan,AZE,2007,14.176.187
Bangladesh,BGD,2007,20.827.457
Belarus,BLR,2007,2.946.274
Belgium,BEL,2007,62.180.615
Brazil,BRA,2007,14.940.883
Bulgaria,BGR,2007,18.728.653
Canada,CAN,2007,25.795.754
Chile,CHL,2007,3.119.981
China,CHN,2007,23448.26
Colombia,COL,2007,23.687.187
Croatia,HRV,2007,9.501.379
Cyprus,CYP,2007,34.965.965
Czechia,CZE,2007,44.239.252
Denmark,DNK,2007,21.337.663
Ecuador,ECU,2007,107.996.414
Egypt,EGY,2007,74.250.116
Estonia,EST,2007,7.331.503
Finland,FIN,2007,24.621.289
France,FRA,2007,16.752.354
Germany,DEU,2007,32.141.074
Greece,GRC,2007,4.053.247
Hong Kong,HKG,2007,30.401.202
Hungary,HUN,2007,25.410.687
Iceland,ISL,2007,11.569.497
India,IND,2007,48.012.754
Indonesia,IDN,2007,14.968.118
Iran,IRN,2007,22.028.115
Iraq,IRQ,2007,28.926.733
Ireland,IRL,2007,18.885.443
Israel,ISR,2007,2.551.586
Italy,ITA,2007,20.101.216
Japan,JPN,2007,5.130.279
Kazakhstan,KAZ,2007,5.820.432
Kuwait,KWT,2007,3.119.603
Latvia,LVA,2007,3.789.378
Lithuania,LTU,2007,689.986
Luxembourg,LUX,2007,48.843.357
Malaysia,MYS,2007,88.146.265
Mexico,MEX,2007,18.235.342
Morocco,MAR,2007,15.954.407
Netherlands,NLD,2007,10.693.535
New Zealand,NZL,2007,14.846.664
North Macedonia,MKD,2007,29.984.726
Norway,NOR,2007,1.692.485
Oman,OMN,2007,17.340.074
Pakistan,PAK,2007,6.285.451
Peru,PER,2007,124.836.525
Philippines,PHL,2007,26.462.344
Poland,POL,2007,10.964.136
Portugal,PRT,2007,2.491.106
Qatar,QAT,2007,2.553.497
Romania,ROU,2007,38.452.997
Russia,RUS,2007,69.420.825
Saudi Arabia,SAU,2007,19.105.583
Singapore,SGP,2007,64.729.517
Slovakia,SVK,2007,14.785.396
Slovenia,SVN,2007,60.285.892
South Africa,ZAF,2007,13.211.337
South Korea,KOR,2007,23.488.152
Spain,ESP,2007,15.298.999
Sri Lanka,LKA,2007,56.225.826
Sweden,SWE,2007,24.303.745
Switzerland,CHE,2007,16.977.641
Taiwan,TWN,2007,11.633.555
Thailand,THA,2007,10.575.852
Trinidad and Tobago,TTO,2007,22.146.744
Turkey,TUR,2007,10.711.096
Ukraine,UKR,2007,13.370.758
United Arab Emirates,ARE,2007,818.361
United Kingdom,GBR,2007,23.710.586
United States,USA,2007,23.576.988
Uzbekistan,UZB,2007,54.604.517
Venezuela,VEN,2007,7.680.104
Vietnam,VNM,2007,30.657.834
World,OWID_WRL,2007,117302.68
Algeria,DZA,2008,42.276.166
Argentina,ARG,2008,76.645.496
Australia,AUS,2008,14.753.569
Austria,AUT,2008,2.882.122
Azerbaijan,AZE,2008,14.360.641
Bangladesh,BGD,2008,2.199.329
Belarus,BLR,2008,298.36
Belgium,BEL,2008,639.172
Brazil,BRA,2008,15.830.702
Bulgaria,BGR,2008,18.061.937
Canada,CAN,2008,2.506.017
Chile,CHL,2008,30.155.118
China,CHN,2008,23943.34
Colombia,COL,2008,2.609.395
Croatia,HRV,2008,9.140.181
Cyprus,CYP,2008,35.643.105
Czechia,CZE,2008,42.970.972
Denmark,DNK,2008,20.495.688
Ecuador,ECU,2008,110.877.556
Egypt,EGY,2008,7.868.004
Estonia,EST,2008,6.723.302
Finland,FIN,2008,22.368.834
France,FRA,2008,16.617.161
Germany,DEU,2008,32.258.838
Greece,GRC,2008,39.006.757
Hong Kong,HKG,2008,282.851
Hungary,HUN,2008,2.467.351
Iceland,ISL,2008,10.640.057
India,IND,2008,51.253.574
Indonesia,IDN,2008,15.072.634
Iran,IRN,2008,2.301.213
Iraq,IRQ,2008,33.767.377
Ireland,IRL,2008,18.551.028
Israel,ISR,2008,2.625.598
Italy,ITA,2008,19.388.276
Japan,JPN,2008,5.100.908
Kazakhstan,KAZ,2008,6.171.841
Kuwait,KWT,2008,3.374.702
Latvia,LVA,2008,37.171.803
Lithuania,LTU,2008,6.799.316
Luxembourg,LUX,2008,4.843.457
Malaysia,MYS,2008,90.781.036
Mexico,MEX,2008,18.363.042
Morocco,MAR,2008,17.637.854
Netherlands,NLD,2008,10.512.654
New Zealand,NZL,2008,15.126.912
North Macedonia,MKD,2008,29.355.963
Norway,NOR,2008,16.903.459
Oman,OMN,2008,20.397.525
Pakistan,PAK,2008,64.645.886
Peru,PER,2008,14.026.257
Philippines,PHL,2008,2.703.643
Poland,POL,2008,11.082.928
Portugal,PRT,2008,24.331.506
Qatar,QAT,2008,2.830.817
Romania,ROU,2008,3.725.271
Russia,RUS,2008,70.104.805
Saudi Arabia,SAU,2008,20.955.105
Singapore,SGP,2008,6.886.517
Slovakia,SVK,2008,15.197.993
Slovenia,SVN,2008,6.421.757
South Africa,ZAF,2008,14.189.465
South Korea,KOR,2008,2.374.351
Spain,ESP,2008,14.581.388
Sri Lanka,LKA,2008,51.899.147
Sweden,SWE,2008,23.101.726
Switzerland,CHE,2008,1.806.103
Taiwan,TWN,2008,11.213.296
Thailand,THA,2008,10.724.199
Trinidad and Tobago,TTO,2008,2.182.056
Turkey,TUR,2008,10.814.062
Ukraine,UKR,2008,1.286.476
United Arab Emirates,ARE,2008,9.384.005
United Kingdom,GBR,2008,23.416.736
United States,USA,2008,22.795.662
Uzbekistan,UZB,2008,51.685.944
Venezuela,VEN,2008,74.047.705
Vietnam,VNM,2008,3.840.117
World,OWID_WRL,2008,118133.58
Algeria,DZA,2009,4.479.042
Argentina,ARG,2009,7.310.342
Australia,AUS,2009,14.503.665
Austria,AUT,2009,26.715.955
Azerbaijan,AZE,2009,12.601.282
Bangladesh,BGD,2009,24.341.373
Belarus,BLR,2009,28.200.616
Belgium,BEL,2009,5.806.317
Brazil,BRA,2009,14.929.707
Bulgaria,BGR,2009,15.124.356
Canada,CAN,2009,23.921.387
Chile,CHL,2009,29.225.992
China,CHN,2009,25.087.559
Colombia,COL,2009,26.568.207
Croatia,HRV,2009,85.492.805
Cyprus,CYP,2009,34.730.488
Czechia,CZE,2009,4.038.886
Denmark,DNK,2009,19.127.023
